"Floods are recognized as one of the most devastating natural disasters worldwide. When rivers overflow their banks due to heavy rainfall, they can inundate large areas causing widespread destruction. Communities living in low-lying areas near rivers are especially vulnerable. Early warning systems and evacuation plans are critical to reducing casualties during flood events.","{""disaster_type"": ""flood"", ""location"": null, ""date_or_year"": null, ""doc_type"": ""General"", ""agency"": ""UN_OCHA"", ""language"": ""en"", ""hazard_type"": ""natural"", ""urgency_level"": null, ""source"": ""official_report""}"
"There is a global increase in the frequency and severity of flood events attributed to climate change. Rising sea levels and changing precipitation patterns are making coastal and riverine communities more susceptible. International agencies recommend investing in flood-resilient infrastructure and community preparedness programs to mitigate long-term risks.","{""disaster_type"": ""flood"", ""location"": null, ""date_or_year"": null, ""doc_type"": ""case_study"", ""agency"": ""UN_OCHA"", ""language"": ""en"", ""hazard_type"": ""natural"", ""urgency_level"": null, ""source"": ""official_report""}"
"If you are caught in a flood situation follow these steps immediately: 1) Move to higher ground without delay. 2) Do not walk wade or drive through floodwater even if it appears shallow. 3) Stay away from storm drains bridges and streams. 4) Listen to official emergency broadcasts for instructions. 5) Contact the Disaster Management Centre hotline for guidance.","{""disaster_type"": ""flood"", ""location"": ""Sri Lanka"", ""date_or_year"": null, ""doc_type"": ""emergency_guideline"", ""agency"": ""DMC"", ""language"": ""en"", ""hazard_type"": ""natural"", ""urgency_level"": ""high"", ""source"": ""official_report""}"
"Flash floods can occur within minutes to hours of excessive rainfall. Warning signs include rapidly rising water levels a roaring sound from upstream and unusual debris in waterways. Communities in mountain valleys and near steep drainage channels are at highest risk. Evacuation should begin immediately upon any official warning or visible sign of flash flooding.","{""disaster_type"": ""flood"", ""location"": null, ""date_or_year"": null, ""doc_type"": ""General"", ""agency"": ""NDMA"", ""language"": ""en"", ""hazard_type"": ""natural"", ""urgency_level"": ""high"", ""source"": ""official_report""}"
"Landslides are the movement of rock earth or debris down a slope triggered by rainfall earthquakes or human activity. In Sri Lanka landslides are common in the central highlands particularly in Nuwara Eliya Badulla and Ratnapura districts during the southwest monsoon season from May to September.","{""disaster_type"": ""landslide"", ""location"": ""Sri Lanka"", ""date_or_year"": null, ""doc_type"": ""General"", ""agency"": ""NBRO"", ""language"": ""en"", ""hazard_type"": ""natural"", ""urgency_level"": null, ""source"": ""official_report""}"
"Warning signs of an imminent landslide include: cracks appearing in the ground or on walls of buildings unusual bulging of the ground at the base of a slope water seeping from previously dry ground and trees or utility poles tilting. If any of these signs are observed evacuate the area immediately and contact the National Building Research Organisation.","{""disaster_type"": ""landslide"", ""location"": ""Sri Lanka"", ""date_or_year"": null, ""doc_type"": ""emergency_guideline"", ""agency"": ""NBRO"", ""language"": ""en"", ""hazard_type"": ""natural"", ""urgency_level"": ""high"", ""source"": ""official_report""}"
"After a landslide has occurred do not re-enter the affected area until authorities declare it safe. Check for injured or trapped persons without putting yourself at risk and call emergency services. Be aware of secondary landslides which commonly follow the initial event. Document damage with photographs if it is safe to do so for insurance and government relief purposes.","{""disaster_type"": ""landslide"", ""location"": null, ""date_or_year"": null, ""doc_type"": ""emergency_guideline"", ""agency"": ""NDMA"", ""language"": ""en"", ""hazard_type"": ""natural"", ""urgency_level"": ""medium"", ""source"": ""official_report""}"
"Flood preparedness checklist for households: Keep an emergency kit with drinking water food for 3 days flashlight batteries first aid supplies and copies of important documents. Know your evacuation route in advance. Store valuables and electrical appliances on upper floors. Identify the nearest evacuation shelter in your community.","{""disaster_type"": ""flood"", ""location"": null, ""date_or_year"": null, ""doc_type"": ""preparedness_guide"", ""agency"": ""DMC"", ""language"": ""en"", ""hazard_type"": ""natural"", ""urgency_level"": null, ""source"": ""official_report""}"
"The 2017 floods and landslides in Sri Lanka affected 15 districts and displaced over 600000 people. Triggered by a deep depression in the Bay of Bengal the disaster caused significant loss of life and property particularly in the Southern and Sabaragamuwa provinces. Relief operations were coordinated by the DMC with international support from UN agencies.","{""disaster_type"": ""flood"", ""location"": ""Sri Lanka"", ""date_or_year"": ""2017"", ""doc_type"": ""case_study"", ""agency"": ""DMC"", ""language"": ""en"", ""hazard_type"": ""natural"", ""urgency_level"": null, ""source"": ""official_report""}"
"Landslide risk reduction involves both structural and non-structural measures. Structural measures include retaining walls slope stabilisation and drainage improvement. Non-structural measures include land use zoning early warning systems community education and relocation of communities from high-risk zones. Both approaches must be combined for effective long-term risk reduction.","{""disaster_type"": ""landslide"", ""location"": null, ""date_or_year"": null, ""doc_type"": ""General"", ""agency"": ""NBRO"", ""language"": ""en"", ""hazard_type"": ""natural"", ""urgency_level"": null, ""source"": ""official_report""}"
